,Data,Godz.,prog. zap 2022,zap 2022
0,2022-01-01,1,15450,"14910,838"
1,2022-01-01,2,14750,"14438,25"
2,2022-01-01,3,14100,"13934,85"
3,2022-01-01,4,13700,"13579,013"
4,2022-01-01,5,13450,"13396,763"
5,2022-01-01,6,13500,"13364,275"
6,2022-01-01,7,13650,"13449,125"
7,2022-01-01,8,13600,"13444,275"
8,2022-01-01,9,13800,"13527,463"
9,2022-01-01,10,14450,"14202,3"
10,2022-01-01,11,15150,"14851,475"
11,2022-01-01,12,15600,"15642,663"
12,2022-01-01,13,16150,"16235,188"
13,2022-01-01,14,16450,"16711,688"
14,2022-01-01,15,16500,"16873,763"
15,2022-01-01,16,16850,"17032,338"
16,2022-01-01,17,17750,"17715,213"
17,2022-01-01,18,17850,"17886,913"
18,2022-01-01,19,17800,"17929,075"
19,2022-01-01,20,17900,"17898,4"
20,2022-01-01,21,17700,"17593,863"
21,2022-01-01,22,17000,"16971,963"
22,2022-01-01,23,16350,"16426,2"
23,2022-01-01,24,15450,"15410,875"
24,2022-01-02,1,14150,"14479,513"
25,2022-01-02,2,13550,"13833,25"
26,2022-01-02,3,13300,"13451,213"
27,2022-01-02,4,13250,"13267,475"
28,2022-01-02,5,13500,"13325,888"
29,2022-01-02,6,14050,"13713,75"
30,2022-01-02,7,14800,"14229,825"
31,2022-01-02,8,14850,"14542,475"
32,2022-01-02,9,15950,"14959,55"
33,2022-01-02,10,16950,"15855,05"
34,2022-01-02,11,17600,"16708,588"
35,2022-01-02,12,17950,"17032,088"
36,2022-01-02,13,18150,"17414,238"
37,2022-01-02,14,18350,"18006,325"
38,2022-01-02,15,18050,"17914,125"
39,2022-01-02,16,18450,"18023,975"
40,2022-01-02,17,19500,"18626,888"
41,2022-01-02,18,19500,"18737,35"
42,2022-01-02,19,19550,"18752,55"
43,2022-01-02,20,19550,"18773,65"
44,2022-01-02,21,19250,"18377,638"
45,2022-01-02,22,18500,"17527,2"
46,2022-01-02,23,17800,"16897,313"
47,2022-01-02,24,16800,"15711,225"
48,2022-01-03,1,15500,"14917,713"
49,2022-01-03,2,14800,"14445,8"
50,2022-01-03,3,14500,"14222,638"
51,2022-01-03,4,14650,"14320,25"
52,2022-01-03,5,15350,"14814,363"
