,Doba,Godzina,zap,rezerwa,nadwyżki OSP,moc JW i mag w RB,moc JW i mag w RB OSP,gen JW i mag w RB,gen JW i mag nie RB,gen wiatr,gen PV,wymiana,niedyspozycje,gen JW nieobjętych OM,OM JRM,Niedobór mocy,rezerwa %,nadwyżki OSP %
0,2023-01-01,1,11823,1294,2713,14578,7342,4628,8303,5441,0,-1109,0,11175,0,-1419,0.10944768671234036,0.22946798612873212
1,2023-01-01,2,11031,1280,1615,14578,7342,5727,6956,4059,0,-1652,0,9809,0,-335,0.11603662405946877,0.14640558426253286
2,2023-01-01,3,11018,1286,183,15266,8029,7846,4826,2091,0,-1654,0,8832,0,1103,0.1167180976583772,0.016609184970049012
3,2023-01-01,4,10678,1259,305,14940,7704,7399,5050,2296,0,-1771,0,8499,0,954,0.11790597490166697,0.028563401386027348
4,2023-01-01,5,10534,1230,1303,14627,7391,6088,6000,3246,0,-1555,0,9164,0,-73,0.11676476172394153,0.12369470286690716
5,2023-01-01,6,10574,1248,1765,14578,7342,5577,6767,4008,0,-1770,0,9491,0,-517,0.11802534518630603,0.1669188575751844
6,2023-01-01,7,10550,1229,1993,14753,7516,5523,6591,3865,0,-1564,0,9242,0,-764,0.11649289099526067,0.18890995260663507
7,2023-01-01,8,10472,1214,2065,14784,7548,5483,6536,3769,12,-1546,0,9145,0,-851,0.11592818945760122,0.19719251336898397
8,2023-01-01,9,10131,1223,2138,14842,7605,5467,6233,3137,764,-1569,0,8847,0,-915,0.12071858651663211,0.21103543579113612
9,2023-01-01,10,10630,1317,2381,14910,7674,5293,6908,3422,1716,-1571,0,9118,0,-1064,0.12389463781749765,0.2239887111947319
10,2023-01-01,11,11195,1417,2330,14968,8051,5722,7248,3478,2303,-1775,0,9434,0,-913,0.12657436355515855,0.20812862885216615
11,2023-01-01,12,11686,1474,2642,14977,8046,5404,8056,4130,2668,-1774,0,10135,0,-1168,0.1261338353585487,0.2260824918706144
12,2023-01-01,13,12401,1506,2802,14977,7684,4882,9097,5257,2431,-1578,0,10999,0,-1296,0.12144181920812838,0.22594952019998388
13,2023-01-01,14,13394,1573,2322,14972,7679,5358,9613,5995,1878,-1577,0,11407,0,-749,0.11744064506495445,0.17336120651037779
14,2023-01-01,15,13927,1502,2585,14972,7679,5095,9611,6466,950,-779,0,11502,0,-1083,0.10784806490988727,0.1856106842823293
15,2023-01-01,16,14114,1427,3417,15295,8003,4586,9612,6735,116,-84,0,11789,0,-1990,0.10110528553209579,0.242100042510982
16,2023-01-01,17,14651,1479,2912,15376,8084,5172,9563,6615,0,-84,0,12843,0,-1433,0.1009487407002935,0.19875776397515527
17,2023-01-01,18,15062,1468,2913,15711,8419,5506,9207,6139,0,349,0,12704,0,-1445,0.09746381622626477,0.19340061080865756
18,2023-01-01,19,15073,1506,2771,15934,8878,6107,8743,5632,0,222,0,12880,0,-1265,0.09991375306840045,0.1838386518941153
19,2023-01-01,20,15515,1530,1630,15781,8725,7095,8159,4925,0,262,0,12973,0,-100,0.0986142442797293,0.10505961972284886
20,2023-01-01,21,14952,1462,1551,15704,8649,7098,7407,4228,0,447,0,12243,0,-89,0.09777956126270733,0.10373194221508829
21,2023-01-01,22,14187,1387,2407,15666,9200,6793,6927,3784,0,467,0,11657,0,-1020,0.09776556001973638,0.16966236695566364
22,2023-01-01,23,13220,1307,3456,15603,9584,6127,6691,3554,0,402,0,10680,0,-2149,0.09886535552193645,0.26142208774583964
23,2023-01-01,24,12536,1245,3821,15492,9731,5911,6292,3138,0,333,0,9717,0,-2576,0.09931397574984047,0.3048021697511168
24,2023-01-02,1,12092,1239,5098,15590,11239,6141,6024,2785,0,-73,0,9097,0,-3859,0.1024644392987099,0.4216010585511082
25,2023-01-02,2,11826,1221,5329,15640,11510,6180,5721,2447,0,-76,0,8778,0,-4108,0.10324708269913749,0.4506172839506173
26,2023-01-02,3,11825,1222,4780,15273,11143,6363,5539,2267,0,-77,0,8609,0,-3558,0.10334038054968288,0.4042283298097252
27,2023-01-02,4,11871,1228,5323,15296,11824,6501,5445,2175,0,-75,0,8582,0,-4095,0.10344537107236122,0.4484036728161065
28,2023-01-02,5,12295,1279,5165,15369,11897,6731,5635,2352,0,-71,0,9250,0,-3886,0.10402602684017893,0.4200894672631151
29,2023-01-02,6,13491,1408,4370,15425,11786,7416,6151,2860,0,-76,0,10796,0,-2962,0.10436587354532652,0.3239196501371285
30,2023-01-02,7,15444,1569,4678,16479,12799,8122,6897,3611,0,426,0,13404,0,-3109,0.1015928515928516,0.3029008029008029
31,2023-01-02,8,17264,1661,4225,16465,12786,8561,7654,4284,10,1049,0,5702,23614,-2564,0.09621177015755329,0.2447289156626506
32,2023-01-02,9,17967,1837,3183,16296,12616,9433,8526,4922,489,8,0,6559,23614,-1346,0.1022430010574943,0.17715812322591418
33,2023-01-02,10,18447,1903,3106,16007,12328,9222,9014,5083,1146,212,0,7020,23614,-1203,0.10316040548598689,0.1683742613975172
34,2023-01-02,11,18283,1880,2929,15204,11525,8596,9293,5147,1551,394,0,7277,23614,-1049,0.10282776349614396,0.16020346770223706
35,2023-01-02,12,18263,1863,3010,15149,11470,8460,9345,5113,1769,458,0,7334,23614,-1147,0.10200952745989159,0.16481410502108088
36,2023-01-02,13,18207,1889,2765,15296,11617,8851,9239,5084,1611,117,0,7217,23614,-876,0.10375130444334596,0.1518646674356017
37,2023-01-02,14,18596,1860,2929,15448,11769,8840,9116,5090,1304,641,0,7089,23614,-1069,0.100021510002151,0.15750699075069907
38,2023-01-02,15,18407,1890,3056,16096,12417,9361,9139,5322,791,-94,0,7098,23614,-1166,0.10267832889661542,0.16602379529526812
39,2023-01-02,16,18880,1916,3089,16521,12842,9753,9229,5605,106,-102,0,7107,23614,-1173,0.10148305084745762,0.16361228813559323
40,2023-01-02,17,20276,2028,1793,16427,12748,10955,9424,5851,0,-103,0,7306,23614,235,0.10001972775695403,0.08842967054645887
41,2023-01-02,18,20208,2002,2159,16537,12858,10699,9604,6025,0,-95,0,7484,23614,-157,0.09906967537608868,0.10683887569279493
42,2023-01-02,19,19875,1973,2889,16745,13066,10177,9790,6247,0,-92,0,7700,23614,-916,0.09927044025157233,0.14535849056603772
43,2023-01-02,20,19677,1955,3258,16731,13051,9794,9994,6487,0,-111,0,7937,23614,-1303,0.09935457640900544,0.1655740204299436
44,2023-01-02,21,19118,1897,3900,16782,13200,9300,9905,6454,0,-87,0,7890,23614,-2003,0.0992258604456533,0.20399623391568156
45,2023-01-02,22,17972,1821,4241,16806,13029,8789,9680,6236,0,-497,0,7628,23614,-2420,0.10132428221678166,0.23597818829290007
46,2023-01-02,23,16686,1645,5316,16330,12347,7031,9417,5993,0,238,0,14223,0,-3671,0.09858564065683807,0.31859043509528945
47,2023-01-02,24,15635,1634,5687,16433,13045,7358,9072,5648,0,-796,0,13602,0,-4053,0.10450911416693316,0.3637352094659418
48,2023-01-03,1,14927,1684,3296,15187,11590,8295,8753,5438,0,-2121,0,13563,0,-1612,0.11281570308836336,0.22080793193541903
49,2023-01-03,2,15188,1681,3765,15186,11806,8041,8894,5610,0,-1747,0,13621,0,-2084,0.11067948380300237,0.24789307347906242
50,2023-01-03,3,15019,1682,3740,14962,11791,8051,8960,5711,0,-1992,0,13454,0,-2058,0.11199147746188162,0.2490179106465144
51,2023-01-03,4,14959,1641,4319,15065,11894,7575,8917,5674,0,-1532,0,13053,0,-2678,0.10969984624640684,0.2887225081890501
52,2023-01-03,5,15219,1698,4255,15223,12392,8138,8904,5662,0,-1823,0,13597,0,-2557,0.11157106248767987,0.2795847296142979
53,2023-01-03,6,15770,1704,4924,15901,12904,7980,8967,5711,0,-1177,0,13992,0,-3220,0.10805326569435637,0.31223842739378566
54,2023-01-03,7,17154,1771,4537,16043,12987,8450,8833,5550,0,-130,0,15374,0,-2766,0.10324122653608488,0.2644864171621779
55,2023-01-03,8,19020,1966,4385,16755,15031,10646,8866,5507,6,-492,0,6900,23614,-2419,0.10336487907465826,0.23054679284963198
56,2023-01-03,9,19337,1972,4401,16464,14739,10338,9089,5517,452,-90,0,7120,23614,-2429,0.10198065884056472,0.22759476650979987
57,2023-01-03,10,19247,1986,4415,16049,14550,10135,9268,5385,1121,-156,0,7264,23614,-2429,0.10318491193432743,0.2293863978801891
58,2023-01-03,11,19047,2019,4574,16040,14541,9968,9572,5468,1579,-493,0,7470,23614,-2555,0.1060009450307135,0.24014280464115084
59,2023-01-03,12,18992,2045,4488,15996,14497,10008,9713,5488,1834,-730,0,7604,23614,-2443,0.10767691659646167,0.2363100252737995
60,2023-01-03,13,19014,2045,4512,15923,14424,9912,9649,5340,2005,-547,0,7517,23614,-2467,0.1075523298622068,0.2372988324392553
61,2023-01-03,14,19215,2005,4235,15910,14411,10175,9136,4952,1715,-97,0,7001,23614,-2230,0.1043455633619568,0.2204007285974499
62,2023-01-03,15,19269,1990,3274,15904,14405,11132,8229,4327,1026,-92,0,6132,23614,-1284,0.1032746899164461,0.16991021848565052
63,2023-01-03,16,19854,2008,2417,16345,14846,12429,7448,3901,132,-23,0,5400,23614,-409,0.10113830966052181,0.12173869245492092
64,2023-01-03,17,20767,2082,2410,17476,15977,13567,7199,3573,0,2,0,5044,23614,-328,0.10025521259690856,0.11604950161313622
65,2023-01-03,18,20822,2085,2290,17641,16142,13852,7063,3397,0,-92,0,4872,23614,-205,0.10013447315339545,0.10997982902699069
66,2023-01-03,19,20386,2048,2750,17714,16215,13465,7011,3325,0,-90,0,4811,23614,-702,0.10046110075542039,0.1348964975963897
67,2023-01-03,20,20128,2003,3268,17734,16235,12967,7032,3338,0,130,0,4831,23614,-1265,0.0995131160572337,0.16236089030206677
68,2023-01-03,21,19632,1913,3836,17904,16048,12212,6785,3071,0,635,0,4574,23614,-1923,0.09744295028524858,0.19539527302363488
69,2023-01-03,22,18707,1797,4468,17389,15890,11422,6423,2854,0,862,0,4246,23614,-2671,0.09606029828406479,0.23884107553322287
70,2023-01-03,23,17172,1649,4738,16879,14812,10075,6169,2642,0,928,0,13863,0,-3089,0.09602841835546239,0.2759142790589331
71,2023-01-03,24,15804,1538,4738,16433,13813,9075,5982,2438,0,747,0,12788,0,-3200,0.09731713490255632,0.2997975196152873
72,2023-01-04,1,14902,1519,2525,14783,11753,9229,5663,2119,0,10,0,12605,0,-1006,0.10193262649308818,0.16944034357804322
73,2023-01-04,2,14286,1468,2996,14400,11601,8605,5762,2203,0,-81,0,12068,0,-1528,0.10275794484110318,0.2097158056838863
