Doba;Godzina;Prognozowane zapotrzebowanie sieci;Wymagana rezerwa mocy OSP;Nadwy¿ka mocy dostêpna dla OSP (7) + (9) - [(3) - (12)] - (13);Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB;Moc dyspozycyjna JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB dostêpna dla OSP;Przewidywana generacja JW i magazynów energii œwiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9) - (12);Prognozowana generacja JW i magazynów energii nie œwiadcz¹cych us³ug bilansuj¹cych w ramach RB;Prognozowana sumaryczna generacja Ÿróde³ wiatrowych;Prognozowana sumaryczna generacja Ÿróde³ fotowoltaicznych;Planowane saldo wymiany miêdzysystemowej;Prognozowana wielkoœæ niedyspozycyjnoœci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej;Przewidywana generacja zasobów wytwórczych nieobjêtych obowi¹zkami mocowymi;Obowi¹zki mocowe wszystkich jednostek rynku mocy
2023-06-01;01;16470;2965;6282;20884;20 884;14569;1901;28;0;0;33;1263;0
2023-06-01;02;16513;2972;6164;20884;20 884;14688;1826;25;0;0;33;1231;0
2023-06-01;03;16235;2922;6382;20884;20 884;14470;1766;21;0;0;33;1189;0
2023-06-01;04;16143;2906;6441;20884;20 884;14411;1732;19;0;0;33;1169;0
2023-06-01;05;15752;2835;6919;20884;20 884;13932;1820;17;204;0;33;1232;0
2023-06-01;06;16206;2917;6608;20884;20 884;14243;1963;13;536;0;33;1391;0
2023-06-01;07;17229;3101;5770;20884;20 884;15081;2148;8;950;0;33;1614;0
2023-06-01;08;18653;3357;4568;20892;20 892;16291;2361;3;1418;0;33;1876;22848
2023-06-01;09;19423;3496;4568;21434;21 434;16834;2589;1;1853;0;33;2074;22848
2023-06-01;10;19410;3494;4568;21173;21 173;16573;2837;5;2202;0;33;2245;22848
2023-06-01;11;19409;3494;4568;20994;20 994;16394;3015;8;2531;0;33;2396;22848
2023-06-01;12;19493;3509;4568;20929;20 929;16329;3164;15;2705;0;33;2487;22848
2023-06-01;13;19458;3502;4586;20884;20 884;16266;3192;18;2767;0;33;2516;22848
